Handle,Color,Size,Brand,Quantity,Price_x,Code,Price_y,Description,Photo,Unnamed: 5
NV7450,BLACK/GREEN,6,MILANO FORMALS,4,199.0,E2549,199.0,Sweet and Sophisticated! This dress has a tight fitted V-neck top with spaghetti straps and a flirty flowy skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2549_Black Green_1.jpg,
NV7452,BLACK,2,MILANO FORMALS,1,179.0,E2547,179.0,This cinderella inspired dress has a bold sequin design on the bodice with accenting gems.,https://ecomm-milano-images.s3.amazonaws.com/E2547_Royal_1.jpg,
NV7452,ROYAL,0,MILANO FORMALS,1,179.0,E2547,179.0,This cinderella inspired dress has a bold sequin design on the bodice with accenting gems.,https://ecomm-milano-images.s3.amazonaws.com/E2547_Royal_1.jpg,
NV7452,ROYAL,2,MILANO FORMALS,3,179.0,E2547,179.0,This cinderella inspired dress has a bold sequin design on the bodice with accenting gems.,https://ecomm-milano-images.s3.amazonaws.com/E2547_Royal_1.jpg,
NV7452,ROYAL,4,MILANO FORMALS,8,179.0,E2547,179.0,This cinderella inspired dress has a bold sequin design on the bodice with accenting gems.,https://ecomm-milano-images.s3.amazonaws.com/E2547_Royal_1.jpg,
NV7452,ROYAL,6,MILANO FORMALS,5,179.0,E2547,179.0,This cinderella inspired dress has a bold sequin design on the bodice with accenting gems.,https://ecomm-milano-images.s3.amazonaws.com/E2547_Royal_1.jpg,
NV7452,ROYAL,8,MILANO FORMALS,2,179.0,E2547,179.0,This cinderella inspired dress has a bold sequin design on the bodice with accenting gems.,https://ecomm-milano-images.s3.amazonaws.com/E2547_Royal_1.jpg,
NV7452,ROYAL BLUE,8,MILANO FORMALS,4,179.0,E2547,179.0,This cinderella inspired dress has a bold sequin design on the bodice with accenting gems.,https://ecomm-milano-images.s3.amazonaws.com/E2547_Royal_1.jpg,
NV7454,GREEN,0,MILANO FORMALS,4,189.0,E2545,189.0,Fairy inspired accenting covers the bust while matching teal/green mesh covers the bodice leading into a flirty chiffon skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2545_Green_1.jpg,
NV7454,GREEN,2,MILANO FORMALS,5,189.0,E2545,189.0,Fairy inspired accenting covers the bust while matching teal/green mesh covers the bodice leading into a flirty chiffon skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2545_Green_1.jpg,
NV7454,GREEN,4,MILANO FORMALS,8,189.0,E2545,189.0,Fairy inspired accenting covers the bust while matching teal/green mesh covers the bodice leading into a flirty chiffon skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2545_Green_1.jpg,
NV7454,GREEN,6,MILANO FORMALS,5,189.0,E2545,189.0,Fairy inspired accenting covers the bust while matching teal/green mesh covers the bodice leading into a flirty chiffon skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2545_Green_1.jpg,
NV7454,GREEN,8,MILANO FORMALS,7,189.0,E2545,189.0,Fairy inspired accenting covers the bust while matching teal/green mesh covers the bodice leading into a flirty chiffon skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2545_Green_1.jpg,
NV7454,GREEN,10,MILANO FORMALS,3,189.0,E2545,189.0,Fairy inspired accenting covers the bust while matching teal/green mesh covers the bodice leading into a flirty chiffon skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2545_Green_1.jpg,
NV7454,GREEN,14,MILANO FORMALS,4,189.0,E2545,189.0,Fairy inspired accenting covers the bust while matching teal/green mesh covers the bodice leading into a flirty chiffon skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2545_Green_1.jpg,
NV7454,GREEN,18,MILANO FORMALS,2,189.0,E2545,189.0,Fairy inspired accenting covers the bust while matching teal/green mesh covers the bodice leading into a flirty chiffon skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2545_Green_1.jpg,
