Handle,Brand,Color,Quantity,Size
B429,MILANO FORMALS,CORAL,1,40
B429,MILANO FORMALS,SKY BLUE,2,26
B429,MILANO FORMALS,LILAC,2,38
B429,MILANO FORMALS,PERRI,3,10
B429,MILANO FORMALS,LILAC,3,34
B429,MILANO FORMALS,IVORY,3,34
B429,MILANO FORMALS,CORAL,3,34
B429,MILANO FORMALS,CORAL,3,38
B429,MILANO FORMALS,PERRI,4,8
B429,MILANO FORMALS,PERRI,5,26
B429,MILANO FORMALS,PERRI,6,12
B429,MILANO FORMALS,IVORY,9,30
B429,MILANO FORMALS,PINK,1,26
B429,MILANO FORMALS,PINK,4,40
B429,MILANO FORMALS,PINK,10,38
B429,MILANO FORMALS,PINK,11,22
B429,MILANO FORMALS,PINK,12,30
B429,MILANO FORMALS,PINK,16,34
NV8608,MILANO FORMALS,PURPLE,1,2
NV8327,MILANO FORMALS,SKY BLUE,1,2
NV8018,MILANO FORMALS,BLACK,1,2
NV7923,MILANO FORMALS,MIDNIGHT,1,2
NV7774,MILANO FORMALS,BLACK,1,2
NV7747,MILANO FORMALS,PURPLE,1,2
NV8735,MILANO FORMALS,BLACK,1,4
NV8327,MILANO FORMALS,SKY BLUE,1,4
B8883,MILANO FORMALS,SILVER,1,40
NV8652,MILANO FORMALS,BLUE,1,8
NV8053,MILANO FORMALS,NAVY,2,2
NV7456,MILANO FORMALS,BLACK,2,2
NV8735,MILANO FORMALS,BLACK,2,4
NV8578,MILANO FORMALS,GREY,2,16
NV8578,MILANO FORMALS,GREY,2,24
B8883,MILANO FORMALS,SILVER,2,38
NV8578,MILANO FORMALS,GREY,4,12
B8883,MILANO FORMALS,SILVER,5,8
AT1191,MILANO FORMALS,IVORY/BLACK,1,8
AT1191,MILANO FORMALS,IVORY,14,8
B429,MILANO FORMALS,PURPLE,1,0
NV8579,MILANO FORMALS,PURPLE,1,8
B429,MILANO FORMALS,PURPLE,2,20
NV8579,MILANO FORMALS,PURPLE,4,2
NV8579,MILANO FORMALS,PURPLE,4,4
NV8579,MILANO FORMALS,PURPLE,4,6
B429,MILANO FORMALS,PURPLE,6,2
B429,MILANO FORMALS,PURPLE,22,24
NV8714,MILANO FORMALS,FUCHSIA,2,12
NV8417,MILANO FORMALS,PURPLE,4,6
NV8417,MILANO FORMALS,FUCHSIA,8,4
BNV0684,ANDY ANAND COUTURE,IVORY,1,12
BNV0693,ANDY ANAND COUTURE,IVORY,1,14
NV7817,MILANO FORMALS,NAVY,2,4
BNV0686,ANDY ANAND COUTURE,IVORY,2,8
