STYLE NO.,COLOR,BOXES NEEDED
E1552,BLACK,[357]
BD2006/972,WINE,[265]
BD2007/10,GOLD,[266]
E2394,IVORY/PRINT,[266]
AA229,WHITE/NUDE,[266]
E1907,CHARCOAL,[266]
B8896,NAVY,[267]
E1657,LAVENDER,[267]
B8808,NAVY/IVORY,[328]
E1697,TEAL,[269]
E2003,BLUE,[269]
E2335,ROYAL,"[315, 269]"
E2578,BLACK,"[393, 286, 510]"
E2430,WHITE/BLUE,"[363, 271]"
E1778,NAVY,[271]
E2767,WINE,[271]
E7715,BLACK,[271]
E2074,NAVY,[271]
B8581,PINK,[272]
E2752,GREEN,"[464, 361, 693]"
B8088,IVORY,[273]
E2557,NAVY,"[610, 390]"
E2088,WINE,[273]
E2088,BLACK,"[352, 273]"
E2088,BURGUNDY,[274]
E2084,BLACK,[274]
AA9301,WHITE,"[650, 477, 279]"
AA9312,WHITE,"[600, 706, 279]"
AA9319,WHITE,"[600, 455, 650, 279]"
F1116,FUCHSIA,[280]
F1116,GOLD,[281]
F1116,BLACK,[283]
E2331,RED,"[786, 284, 373]"
E2778,BLUSH,[286]
570,CHAMPAGNE,[287]
B1022,PURPLE,[288]
E2027,WINE,"[418, 777, 290]"
E1436,POOL,[290]
E1428,PURPLE,[290]
E2158,SILVER,[290]
F570,BANANA,[291]
B570,BANANA,[291]
B8998,APPLE RED,"[291, 646]"
BZ570,RED,[291]
E1448,PURPLE/BLACK,[292]
2088,BURGUNDY,[293]
B8865,PURPLE,"[442, 294]"
1116,IVORY,[298]
E1264,TEAL,"[302, 303]"
E1911,,[]
E2088,WHITE,[306]
E1439,GREY,[309]
E2494,PINK,"[685, 311]"
AA9270,WHITE/RED,[316]
G1116,SILVER,[319]
E2545,GREEN,[321]
AA9309,WHITE,"[323, 548, 324]"
AA9302,WHITE,[323]
E2517,CHAMPAGNE,[326]
E1510,WHITE/BLUE,"[612, 326]"
E1983,MINT,[335]
E1672,ROYAL,[335]
E1986,POOL,[387]
E2410,NUDE IVY,[336]
E1022,SUNRISE,[338]
E2275,ROYAL,[339]
E2573,TURQUOISE,[342]
E2584,BLACK,[345]
E2291,BLACK GOLD,"[353, 367]"
E2587,BLACK,[350]
E2282,YELLOW,[357]
E2204,BLACK,[352]
E2050,BLUE/BLACK,[352]
E2041,IVORY,"[352, 389]"
E2213,NAVY,[352]
E2040,MIDNIGHT,[352]
E2280,PINK,[353]
E1396,PURPLE,[355]
E1685,FUCHSIA,[358]
BD2006/200,BLACK,"[360, 361]"
E1355,YELLOW,[360]
E1947,ROYAL,"[361, 394]"
BD2006/502,,[]
E2773,LIGHT GOLD,[368]
E2251,CHARCOAL,[364]
E2256,ROYAL,[364]
E2245,BLACK/GREEN,[382]
E2292,RED,[367]
AA3257,IVORY,[369]
AA219,IVORY,"[369, 698]"
E2035,JET,[370]
E2036,GREEN,[370]
E1531,POOL,"[371, 766]"
E2158,IVORY,[376]
E2075,MIDNIGHT,"[512, 697, 383]"
E2346,GOLD,[373]
E2340,ROSE,[373]
AA9257,IVORY,"[377, 705, 774, 782]"
E2600,RED,[378]
E2600,ROYAL,[380]
AA9270,APPLE RED,[383]
E2076,NAVY,[383]
E2388,BLACK/GREEN,[384]
E2326,BLACK/RED,[384]
E2327,BLACK/RED,[384]
E2289,PURPLE,[384]
E2231,BLUE,[385]
E1524,TEAL,[388]
E2768,ROYAL,[389]
G1116,NAVY,"[736, 395, 391]"
E1452,PURPLE,[395]
