STYLE NO.,COLOR,BOX NUMBER,SIZE_US
B8401,SKY BLUE,138,10.0
E2171,LIGHTBLUE,138,10.0
E2320,MULTI,138,10.0
E1799,TEAL,139,14.0
E1799,TEAL,139,12.0
E1799,TEAL,139,10.0
E1799,TEAL,139,8.0
E1799,TEAL,139,6.0
E1799,TEAL,139,4.0
AA9307,WHITE,140,10.0
E2526,GREEN,140,8.0
E2717,CHAMPAGNE,140,6.0
E2514,EMERALD,140,6.0
E2513,RED,140,6.0
E2019,BLUE,140,4.0
E2717,CHAMPAGNE,140,4.0
E1510,WHITE,140,4.0
E1531,CORAL,141,4.0
E1852,PINK,141,4.0
E2327,RED,141,4.0
E2087,ROSE,141,4.0
E2160,SKY BLUE,142,14.0
AA9270,WHITE/NAVY,142,14.0
E1412,BROWN,142,12.0
E2160,SKY BLUE,142,12.0
AA9270,WHITE/NAVY,142,12.0
E2160,SKY BLUE,142,10.0
E2160,SKY BLUE,142,8.0
AA9270,WHITE/BURGUNDY,142,6.0
AA9270,WHITE/NAVY,142,6.0
E2543,BLACK,143,8.0
E2019,BLUE,143,8.0
E2514,EMERALD,143,8.0
E2076,MIDNIGHT,143,8.0
E2560,NAVY,143,8.0
E1319,PURPLE,143,8.0
E1544,BLACK,143,4.0
E1730,CHARCOAL,144,12.0
E1730,CHARCOAL,144,10.0
E1730,CHARCOAL,144,8.0
E1730,CHARCOAL,144,6.0
E1730,ORANGE,144,6.0
E1730,ROYAL,144,6.0
E1730,CHARCOAL,144,4.0
E1730,ORANGE,144,4.0
E1582,TEAL,145,12.0
E1582,TEAL,145,10.0
E1582,TEAL,145,8.0
E1918,GREEN,145,4.0
E2018,GREEN,145,4.0
G1116,LILAC,147,14.0
E1507,WATERMELON,147,14.0
G1116,LILAC,147,12.0
E1582,TEAL,147,10.0
E1582,TEAL,147,8.0
E2550,RED,147,6.0
E2087,DIRTY ROSE,147,4.0
570,LILAC,148,8.0
E1018,ORANGE,148,8.0
B8865,SANGRIA,148,8.0
E1285,SAGE,148,12.0
E2255,FUCHSIA,149,6.0
E1730,ROYAL,149,6.0
E1730,ROYAL,149,4.0
E2106,SKY BLUE,150,8.0
AA9303,IVORY,151,12.0
E1582,FUCHSIA,151,6.0
E1852,PINK,151,6.0
E1852,BURGUNDY,151,4.0
E1502,CLARET,151,4.0
AA9308,WHITE,152,14.0
E1379,TRUFFLE,152,8.0
AA9270,WHITE,153,12.0
AA9270,WHITE/IVORY,153,12.0
AA9270,WHITE/IVORY,153,8.0
AA9270,WHITE/IVORY,153,6.0
E1260,JADE,154,8.0
E1260,JADE,154,10.0
G1116,LILAC,154,12.0
E2252,PURPLE,154,12.0
E1421,GREY,154,8.0
570,LILAC,154,8.0
G1116,LILAC,154,8.0
E1827,BLACK,154,6.0
AA9300,IVORY,154,6.0
G1116,LILAC,154,6.0
E1421,GREY,154,4.0
G1116,LILAC,154,4.0
E1420,ROYAL,155,10.0
E1420,ROYAL,155,10.0
E1420,ROYAL,155,8.0
E1420,ROYAL,155,8.0
E1420,ROYAL,155,4.0
E1270,TEAL,156,12.0
E1582,TEAL,156,10.0
E1827,BLACK,156,8.0
E2080,BLACK,156,8.0
E2460,BLACK,156,8.0
E1799,TEAL,156,6.0
E2602,BLACK,157,14.0
E2602,BLACK,157,10.0
E2602,BLACK,157,6.0
E2602,MINT,157,6.0
E2602,MINT,157,4.0
E2031,BLACK,158,12.0
E1420,ROYAL,158,10.0
E1462,SKY BLUE,158,8.0
E1520,BURNT ORANGE,158,6.0
E1463,TEAL,158,6.0
E1462,SKY BLUE,158,4.0
E1463,TEAL,158,4.0
E1986,TIFFANY,159,14.0
E1285,CAFE,159,12.0
E1285,FUCHSIA,159,12.0
E2527,BLACK,159,10.0
E2281,PURPLE,159,10.0
E1986,TIFFANY,159,10.0
E2527,BLACK,159,8.0
E1264,CLARET,159,8.0
E2281,PURPLE,159,8.0
E2544,RED,159,4.0
E1264,CORAL,160,12.0
E1264,CORAL,160,10.0
E1264,CORAL,160,8.0
E2322,BLUSH,161,10.0
E2097,MINT,161,10.0
E2322,BLUSH,161,8.0
AA9306,IVORY,162,6.0
AA9308,IVORY,162,6.0
AA9313,IVORY,162,6.0
AA9313,IVORY,163,6.0
AA9315,IVORY,163,6.0
B8865,BROWN,164,10.0
BD2007/10,COFFEE,164,10.0
E1013,SUNSHINE,164,10.0
E1965,SANGRIA,164,8.0
E1799,TEAL,164,8.0
E2082,BLACK,164,6.0
E2241,BLACK,164,6.0
E2449,GREEN,164,6.0
E1502,CLARET,164,4.0
E1013,SUNSHINE,165,12.0
E1334,FUCHSIA,165,6.0
E1463,TRUFFLE,166,12.0
E1270,FUCHSIA,166,10.0
E2615,CLARET,167,8.0
E2410,MUD,167,8.0
E1852,PINK,167,8.0
E1379,TRUFFLE,167,8.0
E1379,PEACOCK,167,6.0
E1379,PEACOCK,167,4.0
E1379,TRUFFLE,167,4.0
AA9322,IVORY,168,12.0
AA9315,IVORY,168,10.0
E1918,GREEN,169,6.0
E2042,WINE,170,14.0
E2551,RED,170,6.0
E2080,BLACK,170,4.0
570,PERRI,171,8.0
G1116,LILAC,171,12.0
G1116,LILAC,171,12.0
E1270,FUCHSIA,171,10.0
E1270,FUCHSIA,171,8.0
G1116,LILAC,171,8.0
E1420,ROYAL,171,8.0
E1421,ROYAL,171,4.0
BZ570,NAVY,172,14.0
E1663,NAVY,172,14.0
BD 2006/741,PURPLE,172,10.0
B2602,MINT,172,14.0
AA9270,WHITE NAVY,172,12.0
AA9270,BURGUNDY,172,6.0
E2514,EMERALD,172,6.0
B2602,BLACK,172,4.0
E2514,EMERALD,172,4.0
BZ570,BLACK,173,8.0
B8808,IVORY,173,8.0
E2252,PURPLE,173,14.0
E1507,WATERMELON,173,14.0
E1387,PINK,173,10.0
E2042,WINE,173,10.0
E1581,RED,173,6.0
E2253,RED,173,6.0
E1672,SKY BLUE,174,12.0
E1672,SKY BLUE,174,10.0
G1116,LILAC,174,8.0
G1116,LILAC,174,6.0
G1116,LILAC,174,4.0
E2786,PURPLE,175,14.0
E1270,TEAL,175,12.0
E1270,TEAL,175,10.0
E1270,TEAL,175,8.0
E1270,TEAL,175,6.0
E1270,TEAL,175,4.0
E2602,BLACK,176,8.0
E2324,PINK,176,4.0
E2544,RED,176,4.0
E1260,SKY BLUE,177,8.0
E1657,BLACK,177,10.0
570,DARK GREEN,178,12.0
E1391,PURPLE,178,10.0
570,MINT,180,14.0
E1347,BLUE,180,10.0
E2786,PURPLE,180,10.0
E1657,BLACK,180,8.0
E2786,PURPLE,180,8.0
E1344,YELLOW,181,8.0
E1344,YELLOW,181,12.0
E1344,YELLOW,181,10.0
570,PINK,181,14.0
AA9308,WHITE,181,14.0
E1893,BLACK,181,10.0
E1581,RED,181,10.0
E2253,RED,181,10.0
E1354,LILAC,182,8.0
E1356,TRUFFLE,182,8.0
E1354,LILAC,182,12.0
E1354,LILAC,182,10.0
E1356,TRUFFLE,182,10.0
E2227,FUCHSIA,182,14.0
E1657,BLACK,182,12.0
E2076,MIDNIGHT,182,10.0
E1657,BLACK,182,4.0
E1422,PURPLE,183,12.0
E1424,TEAL,183,12.0
E1424,TEAL,183,10.0
E2764,ROYAL,184,14.0
E2046,ROSE,184,12.0
E2034,BERRY,184,8.0
E2126,BLACK,185,10.0
E1201,WINE,185,10.0
E2042,WINE,185,10.0
E1354,LAVENDER,185,8.0
E1439,TEAL,185,8.0
E2771,TEAL,186,4.0
E1379,PEACOCK,187,6.0
E1285,SAGE,188,10.0
E2244,BLACK,189,14.0
E2615,CLARET,189,14.0
