STYLE NO.,COLOR,SIZE,BRAND NAME,QUANTITY
B8998,APPLE RED,L,,2.0
B8998,APPLE RED,XL,,3.0
B8998,CHAMPAGNE,18,,1.0
B8998,CLARET,10,,1.0
B8998,CLARET,16,,6.0
B8998,CLARET,4,,9.0
B8998,CLARET,6,,7.0
B8998,CLARET,8,,2.0
B8998,CLARET,M,,3.0
B8998,CLARET,S,,2.0
B8998,CORAL,10,,3.0
B8998,CORAL,12,,6.0
B8998,CORAL,14,,1.0
B8998,CORAL,16,,6.0
B8998,CORAL,22,,1.0
B8998,CORAL,38,,2.0
B8998,CORAL,4,,18.0
B8998,CORAL,40,,1.0
B8998,CORAL,6,,5.0
B8998,CORAL,8,,12.0
B8998,CORAL,L,,1.0
B8998,CORAL,S,,1.0
B8998,LIGHT GREEN,S,,8.0
B8998,POOL,10,,4.0
B8998,POOL,12,,3.0
B8998,POOL,4,,1.0
B8998,POOL,8,,3.0
B8998,POOL,M,,1.0
B8998,POOL,S,,1.0
B8998,POOL,XL,,1.0
B8998,RED,10,,6.0
B8998,RED,12,,8.0
B8998,RED,20,,1.0
B8998,RED,4,,4.0
B8998,RED,6,,1.0
B8998,RED,8,,9.0
B8998,ROYAL,12,,2.0
B8998,ROYAL,4,,2.0
B8998,ROYAL,6,,5.0
B8998,ROYAL,8,,1.0
B8998,ROYAL,S,,1.0
B8998,SANGRIA,12,,3.0
B8998,SANGRIA,2,,1.0
B8998,SANGRIA,20,,3.0
B8998,SANGRIA,2XL,,3.0
B8998,SANGRIA,34,,1.0
B8998,SANGRIA,38,,1.0
B8998,SANGRIA,4,,4.0
B8998,SANGRIA,6,,2.0
B8998,SANGRIA,8,,4.0
B8998,SANGRIA,XL,,1.0
B8998,TRUFFLE,12,,2.0
B8998,TRUFFLE,M,,1.0
B8998,TRUFFLE,S,,9.0
B8998,WHITE,18,,1.0
B8998,WHITE,2,,1.0
B8998,WHITE,4,,15.0
B8998,WHITE,6,,1.0
B8998,WHITE,8,,13.0
B8998,WHITE,L,,2.0
B8998,WHITE,M,,2.0
B8998,WHITE,S,,3.0
B8998,WINE,22,,1.0
B9000,BURGUNDY,6XL,,4.0
B9000,BURGUNDY,S,,7.0
B9000,DUSTY PINK,L,,3.0
B9000,DUSTY PINK,M,,4.0
B9000,DUSTY PINK,S,,15.0
B9000,DUSTY PINK,XL,,9.0
B9000,LILAC,M,,4.0
B9000,LILAC,S,,16.0
B9000,PURPLE,2XL,,2.0
B9000,PURPLE,3XL,,1.0
B9000,PURPLE,4,,1.0
B9000,PURPLE,6XL,,2.0
B9000,PURPLE,L,,2.0
B9000,PURPLE,S,,7.0
B9000,TRUFFLE,12,,1.0
B9000,TRUFFLE,4XL,,1.0
B9000,TRUFFLE,5XL,,3.0
B9000,TRUFFLE,6XL,,6.0
B9000,TRUFFLE,8,,1.0
B9000,TRUFFLE,M,,4.0
B9000,TRUFFLE,S,,9.0
B9000,TRUFFLE,XL,,1.0
BZ570,BANANA,30,,2.0
BZ570,BLACK,S,,1.0
BZ570,CHAMPAGNE,4XL,,1.0
BZ570,CORAL,14,,1.0
BZ570,CORAL,16,,1.0
BZ570,FUCHSIA,10,MILANO,1.0
BZ570,FUCHSIA,4XL,MILANO,4.0
BZ570,IVORY,26,,1.0
BZ570,NAVY,2XL,MILANO,2.0
BZ570,NAVY,XL,,1.0
BZ570,PINK,3XL,MILANO,7.0
BZ570,PINK,4XL,MILANO,3.0
BZ570,PINK,5XL,MILANO,3.0
BZ570,PINK,6XL,MILANO,4.0
BZ570,PINK,7XL,MILANO,5.0
BZ570,PINK,8XL,MILANO,5.0
BZ570,POOL,L,,3.0
BZ570,POOL,M,,1.0
BZ570,POOL,S,,3.0
BZ570,PURPLE,2,,6.0
BZ570,PURPLE,20,,2.0
BZ570,PURPLE,24,,22.0
BZ570,PURPLE,5XL,,4.0
BZ570,PURPLE,6XL,,6.0
BZ570,PURPLE,7XL,,6.0
BZ570,PURPLE,8XL,,9.0
BZ570,RED,10,,1.0
BZ570,RED,20,,1.0
BZ570,ROYAL BLUE,6XL,MILANO,29.0
BZ570,ROYAL BLUE,7XL,MILANO,5.0
BZ570,ROYAL BLUE,8XL,MILANO,2.0
BZ570,ROYAL BLUE,XL,MILANO,1.0
BZ570,SKY BLUE,14,,4.0
BZ570,SKY BLUE,16,,5.0
BZ570,SKY BLUE,18,,1.0
BZ570,SKY BLUE,24,,3.0
BZ570,SKY BLUE,26,,10.0
BZ570,SKY BLUE,30,,1.0
BZ570,SKY BLUE,34,,3.0
BZ570,SKY BLUE,38,,2.0
BZ570,SKY BLUE,40,,2.0
BZ570,SKY BLUE,4XL,,2.0
BZ570,SKY BLUE,8,,4.0
BZ570,SKY BLUE,M,,1.0
BZ570,TEAL,3XL,,1.0
BZ570,TRUFFLE,5XL,,7.0
BZ570,TRUFFLE,6XL,,17.0
BZ570,TRUFFLE,7XL,,24.0
BZ570,TRUFFLE,8XL,,5.0
BZ570,TRUFFLE,L,,1.0
BZ570,TRUFFLE,M,,18.0
BZ570,TURQUOISE,3XL,,3.0
BZ570,TURQUOISE,4XL,,6.0
BZ570,TURQUOISE,5XL,,2.0
BZ570,TURQUOISE,6XL,,4.0
BZ570,TURQUOISE,7XL,,2.0
BZ570,TURQUOISE,8XL,,7.0
BZ570,WHITE,4XL,,5.0
E1013,CLARET,10,,7.0
E1013,FUCHSIA,4,,1.0
E1013,FUCHSIA,M,,2.0
E1013,LILAC,12,,2.0
E1013,LILAC,18,,4.0
E1013,LILAC,24,,6.0
E1013,LILAC,2XL,,1.0
E1013,LILAC,30,,2.0
E1013,LILAC,3XL,,1.0
E1013,LILAC,8,,7.0
E1013,LILAC,S,,11.0
E1013,PINK,4,,1.0
E1013,SANGRIA,12,,1.0
E1013,SANGRIA,24,,1.0
E1013,SANGRIA,4,,7.0
E1013,SANGRIA,6,,1.0
E1013,SANGRIA,M,,2.0
E1013,SANGRIA,S,,2.0
E1013,SUNSHINE,10,,1.0
E1013,SUNSHINE,12,,3.0
E1013,SUNSHINE,14,,5.0
E1013,SUNSHINE,20,,5.0
E1013,SUNSHINE,22,,3.0
E1013,TRUFFLE,10,,2.0
E1013,TRUFFLE,12,,10.0
E1013,TRUFFLE,16,,1.0
E1013,TRUFFLE,20,,7.0
E1013,TRUFFLE,24,,4.0
E1013,TRUFFLE,4,,2.0
E1013,TRUFFLE,6,,4.0
E1013,TRUFFLE,8,,5.0
E1013,TRUFFLE,L,,1.0
E1013,TRUFFLE,M,,3.0
E1024,BANANA,3XL,,1.0
E1024,BANANA,M,,8.0
E1024,BANANA,S,,14.0
E1024,BANANA,XL,,3.0
E1024,LILAC,2XL,,6.0
E1024,MINT,2XL,,3.0
E1024,MINT,M,,3.0
E1024,MINT,S,,8.0
E1024,MINT,XL,,4.0
E1024,PERSIMMON,2XL,,2.0
E1024,PERSIMMON,3XL,,4.0
E1024,PERSIMMON,M,,8.0
E1024,PERSIMMON,S,,20.0
E1024,TRUFFLE,M,,3.0
E1024,TRUFFLE,S,,18.0
E1032,BLACK,5,,4.0
E1032,PISTACHIO,2,,1.0
E1032,PISTACHIO,8,,2.0
E1032,PISTACHIO,M,,6.0
E1032,PISTACHIO,S,,6.0
