BOX NUMBER,Code,Brand,Color,SIZE,Size,Quantity,BOX LOCATION,CATEGORIES,SKU,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,Florida_count,MAPPED,Style_colour
252.0,E1809,MILANO FORMALS,ORANGE,6,6,REM,3032.0,,E1809_ORANGE_6,,,,,,,NV8190,E1809_ORANGE
318.0,E1809,MILANO FORMALS,ORANGE,6,6,REM,3032.0,,E1809_ORANGE_6,,,,,,,NV8190,E1809_ORANGE
912.0,E1809,,ORANGE,6,,1,,,,,,,,,,,
912.0,E1809,,ORANGE,8,,2,,,,,,,,,,,
913.0,E1831,,RED,6,,1,,,,,,,,,,,
811.0,E1833,MILANO FORMALS,PURPLE-GOLD,2-24,2-24,1,3240.0,Ball Gown/Quinceanera ,E1833_PURPLE-GOLD_2-24,,,,,,,NV8166,E1833_PURPLE-GOLD
911.0,E1849,,BLACK,6,,1,,,,,,,,,,,
911.0,E1849,,BLACK,18,,1,,,,,,,,,,,
912.0,E1861,,RED,4,,1,,,,,,,,,,,
603.0,E1875,MILANO FORMALS,BLACK,6,6,REM,3735.0,,E1875_BLACK_6,,,,,,1.0,NV8124,E1875_BLACK
904.0,E1877,,NAVY,4,,1,,,,,,,,,,,
904.0,E1877,,NAVY,2,,1,,,,,,,,,,,
906.0,E1879,,PURPLE,2,,4,,,,,,,,,,,
906.0,E1879,,PURPLE,0,,4,,,,,,,,,,,
914.0,E1879,,PURPLE,4,,1,,,,,,,,,,,
903.0,E1885,,NAVY,16,,1,,,,,,,,,,,
901.0,E1892,,NUDE-NAVY,0,,1,,,,,,,,,,,
901.0,E1892,,NUDE-NAVY,2,,1,,,,,,,,,,,
913.0,E1893,,BLACK,8,,1,,,,,,,,,,,
902.0,E1895,,BLACK,14,,1,,,,,,,,,,,
902.0,E1895,,BLACK,18,,4,,,,,,,,,,,
904.0,E1904,,BLACK,0,,3,,,,,,,,,,,
904.0,E1904,,BLACK,2,,3,,,,,,,,,,,
904.0,E1904,,BLACK,4,,1,,,,,,,,,,,
910.0,E1908,,GREY,2,,2,,,,,,,,,,,
910.0,E1908,,GREY,4,,1,,,,,,,,,,,
910.0,E1908,,GREY,6,,1,,,,,,,,,,,
903.0,E1930,,BLACK,4,,1,,,,,,,,,,,
903.0,E1930,,BLACK,8,,2,,,,,,,,,,,
914.0,E1930,,BLACK,8,,1,,,,,,,,,,,
912.0,E1939,,TEAL,2,,1,,,,,,,,,,,
912.0,E1939,,TEAL,10,,1,,,,,,,,,,,
912.0,E1939,,TEAL,14,,1,,,,,,,,,,,
933.0,E1942,,ROYAL,6,,1,,,,,,,,,,,
933.0,E1942,,ROYAL,8,,1,,,,,,,,,,,
933.0,E1942,,ROYAL,4,,1,,,,,,,,,,,
933.0,E1942,,ROYAL,14,,1,,,,,,,,,,,
901.0,E1946,,NAVY,0,,1,,,,,,,,,,,
901.0,E1946,,NAVY,2,,1,,,,,,,,,,,
909.0,E1947,,ROYAL,4,,1,,,,,,,,,,,
909.0,E1947,,ROYAL,12,,1,,,,,,,,,,,
909.0,E1947,,ROYAL,16,,1,,,,,,,,,,,
904.0,E1950,,BLACK,4,,2,,,,,,,,,,,
904.0,E1950,,BLACK,6,,1,,,,,,,,,,,
915.0,E1954,,PLUM,4,,1,,,,,,,,,,,
910.0,E1968,,BLACK,18,,2,,,,,,,,,,,
29.0,E1984,MILANO FORMALS,,6,6,1,3033.0,,E1984_6,,,,,,,NV8015,E1984_
29.0,E1984,MILANO FORMALS,,10,10,1,3033.0,,E1984_10,,,,,,,NV8015,E1984_
29.0,E1984,MILANO FORMALS,,14,14,1,3033.0,,E1984_14,,,,,,,NV8015,E1984_
29.0,E1984,MILANO FORMALS,,18,18,2,3033.0,,E1984_18,,,,,,,NV8015,E1984_
915.0,E2057,,BLUSH,22,,1,,,,,,,,,,,
913.0,E2073,,BLUE,4,,1,,,,,,,,,,,
929.0,E2106,,SKYBLUE,4,,1,,,,,,,,,,,
932.0,E2106,,SKYBLUE,4,,1,,,,,,,,,,,
914.0,E2111,,MINT,4,,1,,,,,,,,,,,
909.0,E2126,,BLACK,4,,1,,,,,,,,,,,
909.0,E2126,,BLACK,6,,1,,,,,,,,,,,
909.0,E2126,,BLACK,14,,1,,,,,,,,,,,
909.0,E2126,,BLACK,8,,1,,,,,,,,,,,
913.0,E2128,,CHAMPAGNE,4,,1,,,,,,,,,,,
905.0,E2180,,WINE,4,,1,,,,,,,,,,,
913.0,E2196,,RED,4,,1,,,,,,,,,,,
275.0,E2225,MILANO FORMALS,BLACK-GREEN,6,6,REM,3032.0,,E2225_BLACK-GREEN_6,,,,,,1.0,NV7774,E2225_BLACK-GREEN
803.0,E2252,MILANO FORMALS,PURPLE,0-20,0-20,1,3240.0,Short,E2252_PURPLE_0-20,,,,,,,NV7747,E2252_PURPLE
902.0,E2301,,GREY,6,,1,,,,,,,,,,,
803.0,E2327,MILANO FORMALS,BLACK-RED,0-24,0-24,1,3240.0,Elegant Evening,E2327_BLACK-RED_0-24,,,,,,,NV7672,E2327_BLACK-RED
427.0,E24,MILANO FORMALS,,4,4,1,3033.0,,E24_4,,,,,,,NV75,E24_
903.0,E24,,POOL,4,,1,,,,,,,,,,,
726.0,E2434,MILANO FORMALS,RED-PRINT,0-8,0-8,1,3733.0,,E2434_RED-PRINT_0-8,,,,,,,NV7565,E2434_RED-PRINT
585.0,E2494,MILANO FORMALS,SANGRIA,8,8,REM,3735.0,,E2494_SANGRIA_8,,,,,,,NV7505,E2494_SANGRIA
585.0,E2494,MILANO FORMALS,SANGRIA,16,16,REM,3735.0,,E2494_SANGRIA_16,,,,,,,NV7505,E2494_SANGRIA
685.0,E2494,MILANO FORMALS,PINK,4,4,REM,3733.0,,E2494_PINK_4,,,,,,,NV7505,E2494_PINK
685.0,E2494,MILANO FORMALS,PINK,8,8,REM,3733.0,,E2494_PINK_8,,,,,,,NV7505,E2494_PINK
690.0,E2494,MILANO FORMALS,PINK,14,14,REM,3733.0,,E2494_PINK_14,,,,,,,NV7505,E2494_PINK
926.0,E2494,,PINK,8,,1,,,,,,,,,,,
929.0,E2494,,PINK,4,,1,,,,,,,,,,,
931.0,E2494,,SANGRIA,16,,1,,,,,,,,,,,
932.0,E2494,,SANGRIA,4,,1,,,,,,,,,,,
932.0,E2494,,SANGRIA,8,,1,,,,,,,,,,,
933.0,E2494,,PINK,14,,1,,,,,,,,,,,
682.0,E2495,MILANO FORMALS,SKY-BLUE,4,4,REM,3733.0,,E2495_SKY-BLUE_4,,,,,,,NV7504,E2495_SKY-BLUE
682.0,E2495,MILANO FORMALS,SKY-BLUE,16,16,REM,3733.0,,E2495_SKY-BLUE_16,,,,,,,NV7504,E2495_SKY-BLUE
719.0,E2495,MILANO FORMALS,PINK,4,4,REM,3733.0,,E2495_PINK_4,,,,,,,NV7504,E2495_PINK
719.0,E2495,MILANO FORMALS,PINK,16,16,REM,3733.0,,E2495_PINK_16,,,,,,,NV7504,E2495_PINK
929.0,E2495,,SKYBLUE,10,,1,,,,,,,,,,,
930.0,E2495,,SKY-BLUE,4,,1,,,,,,,,,,,
931.0,E2495,,PINK,16,,1,,,,,,,,,,,
931.0,E2495,,PINK,4,,1,,,,,,,,,,,
908.0,E2496,,SKYBLUE,4,,1,,,,,,,,,,,
908.0,E2496,,SKYBLUE,8,,1,,,,,,,,,,,
908.0,E2496,,SKYBLUE,16,,1,,,,,,,,,,,
915.0,E2496,,PEACH,4,,1,,,,,,,,,,,
915.0,E2496,,PEACH,8,,1,,,,,,,,,,,
918.0,E2497,,BLUSH,4,,1,,,,,,,,,,,
925.0,E2497,,MINT,4,,1,,,,,,,,,,,
925.0,E2497,,MINT,8,,1,,,,,,,,,,,
925.0,E2497,,MINT,12,,1,,,,,,,,,,,
574.0,E2501,MILANO FORMALS,LAVENDER,4,4,REM,3735.0,,E2501_LAVENDER_4,,,,,,,NV7498,E2501_LAVENDER
638.0,E2501,MILANO FORMALS,MINT,4,4,REM,3733.0,,E2501_MINT_4,,,,,,,NV7498,E2501_MINT
639.0,E2501,MILANO FORMALS,BLUSH,4,4,REM,3733.0,,E2501_BLUSH_4,,,,,,,NV7498,E2501_BLUSH
648.0,E2501,MILANO FORMALS,BLUSH,16,16,REM,3733.0,,E2501_BLUSH_16,,,,,,,NV7498,E2501_BLUSH
673.0,E2501,MILANO FORMALS,LAVENDER,4,4,REM,3733.0,,E2501_LAVENDER_4,,,,,,,NV7498,E2501_LAVENDER
687.0,E2501,MILANO FORMALS,LAVENDER,8,8,REM,3733.0,,E2501_LAVENDER_8,,,,,,,NV7498,E2501_LAVENDER
918.0,E2501,,BLUSH,8,,1,,,,,,,,,,,
927.0,E2501,,LAVENDER,S,,1,,,,,,,,,,,
929.0,E2501,,BLUSH,16,,1,,,,,,,,,,,
930.0,E2501,,LAVENDER,4,,1,,,,,,,,,,,
930.0,E2501,,LAVENDER,8,,1,,,,,,,,,,,
932.0,E2501,,MINT,4,,1,,,,,,,,,,,
933.0,E2501,,BLUSH,4,,1,,,,,,,,,,,
933.0,E2501,,BLUSH,14,,1,,,,,,,,,,,
922.0,E2503,,SKYBLUE,8,,2,,,,,,,,,,,
922.0,E2503,,SKYBLUE,4,,1,,,,,,,,,,,
923.0,E2503,,SKYBLUE,8,,1,,,,,,,,,,,
923.0,E2503,,SKYBLUE,4,,1,,,,,,,,,,,
923.0,E2503,,SKYBLUE,12,,1,,,,,,,,,,,
918.0,E2520,,AQUA,10,,1,,,,,,,,,,,
850.0,E2524,MILANO FORMALS,MAUVE,4,4,REM,3240.0,,E2524_MAUVE_4,,,,,,1.0,NV7475,E2524_MAUVE
351.0,E2547,MILANO FORMALS,ROYAL,8,8,REM,3032.0,Embellished,E2547_ROYAL_8,,,,,,1.0,NV7452,E2547_ROYAL
931.0,E2557,,NAVY,6,,1,,,,,,,,,,,
932.0,E2557,,NAVY,14,,1,,,,,,,,,,,
143.0,E2560,MILANO FORMALS,NAVY,8,8,REM,3725.0,,E2560_NAVY_8,,,,,,1.0,NV7439,E2560_NAVY
157.0,E2602,MILANO FORMALS,MINT,6,6,REM,3725.0,,E2602_MINT_6,,,,,,1.0,NV7397,E2602_MINT
912.0,E2755,,PEACH,4,,1,,,,,,,,,,,
912.0,E2755,,PEACH,6,,1,,,,,,,,,,,
912.0,E2755,,PEACH,8,,1,,,,,,,,,,,
912.0,E2755,,PEACH,14,,1,,,,,,,,,,,
