BOX NUMBER,STYLE NO.,BRAND NAME,COLOR,SIZE,QUANTITY,SKU,BOX LOCATION,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,13672,SIZE_US
18,E1379,,PEACOCK,10,1,,3033,,,,,,,10
18,E1379,,PEACOCK,8,2,,3033,,,,,,,8
18,E1379,,PEACOCK,6,3,,3033,,,,,,,6
18,E1379,,PEACOCK,4,3,,3033,,,,,,,4
18,E2526,,GREEN,2,2,,3033,,,,,,,2
18,E2023,,TURQUOISE,2,1,,3033,,219,,,,,2
18,E2511,,BLUE,0,1,,3033,,,,,,,0
18,E1946,,NAVY,0,1,,3033,,,,,,,0
18,E2531,,ROYAL BLUE,0,1,,3033,,,,,,,0
19,570,MILANO,FUCHSIA,S,6,,3033,,,,,,,8
19,570,MILANO,FUCHSIA,8XL,1,,3033,,,,,,,40
19,570,MILANO,FUCHSIA,7XL,10,,3033,,,,,,,38
19,570,MILANO,FUCHSIA,6XL,18,,3033,,,,,,,34
19,BZ570,MILANO,FUCHSIA,4XL,4,,3033,,,,,,,26
19,BZ570,MILANO,FUCHSIA,10,1,,3033,,,,,,,10
19,E1799,,FUCHSIA,8,6,,3033,,,,,,,8
20,E2526,,GREEN,8,1,,3033,,,,,,,8
20,E2602,,MINT,6,1,,3033,,,,,,,6
20,1582,,TEAL,6,1,,3033,,,,,,,6
20,E1582,,FUCHSIA,4,1,,3033,,,,,,,4
20,B1799,,GREEN,4,1,,3033,,,,,,,4
20,E1582,,GREEN,4,1,,3033,,,,,,,4
20,1582,,TEAL,4,5,,3033,,,,,,,4
20,E2602,,MINT,2,1,,3033,,,,,,,2
20,E2023,,TIFFANY,2,1,,3033,,219,,,,,2
21,B8808,,IVORY/NAVY,S,3,,3033,,,,,,,8
21,B8808,,IVORY/NAVY,XL,2,,3033,,,,,,,14
21,B8808,,IVORY/NAVY,L,2,,3033,,,,,,,12
21,E2101,,WINE,18,3,,3033,,,,,,,18
21,E2101,,WINE,16,2,,3033,,,,,,,16
21,E2560,,NAVY,14,1,,3033,,,,,,,14
21,E2101,,WINE,14,1,,3033,,,,,,,14
21,E2101,,WINE,12,3,,3033,,,,,,,12
21,E2101,,WINE,10,1,,3033,,,,,,,10
21,E2101,,WINE,8,2,,3033,,,,,,,8
21,E2101,,WINE,4,1,,3033,,,,,,,4
21,E2101,,WINE,2,1,,3033,,,,,,,2
22,570,MILANO,BANANA YELLOW,8XL,4,,3033,,,,,,,40
22,570,MILANO,BANANA YELLOW,5XL,45,,3033,,,,,,,30
22,570,MILANO,BANANA YELLOW,4XL,13,,3033,,,,,,,26
22,570,MILANO,BANANA YELLOW,3XL,1,,3033,,,,,,,22
23,570,MILANO,NAVY,8XL,1,,3033,,,,,,,40
23,E1260,,JADE,M,1,,3033,,,,,,,10
23,570,MILANO,PERIWINKLE,M,1,,3033,,,,,,,10
23,E1379,,PEACOCK,10,3,,3033,,,,,,,10
23,E2602,,BLACK,8,4,,3033,,,,,,,8
23,E1379,,PEACOCK,8,1,,3033,,,,,,,8
23,E1379,,TRUFFLE,8,2,,3033,,,,,,,8
23,E2602,,BLACK,6,1,,3033,,,,,,,6
23,E2602,,BLACK,4,3,,3033,,,,,,,4
23,E2544,,RED,4,1,,3033,,,,,,,4
23,E1379,,TRUFFLE,4,2,,3033,,,,,,,4
24,570,MILANO,BANANA YELLOW,7XL,1,,3033,,,,,,,38
24,570,MILANO,NAVY,7XL,1,,3033,,,,,,,38
24,570,MILANO,NAVY,5XL,3,,3033,,,,,,,30
24,570,MILANO,BANANA YELLOW,4XL,1,,3033,,,,,,,26
24,570,MILANO,BANANA YELLOW,3XL,4,,3033,,,,,,,22
24,BZ570,MILANO,NAVY,2XL,1,,3033,,,,,,,18
24,E2225,,BLACK / GREEN,8,1,,3033,,,,,,,8
24,E2225,,BLACK / GREEN,6,1,,3033,,,,,,,6
24,E1421,,CORAL,6,2,,3033,,,,,,,6
24,E1531,,CORAL,6,2,,3033,,,,,,,6
24,E2225,,BLACK / GREEN,4,1,,3033,,,,,,,4
24,E1605,,PURPLE,4,1,,3033,,,,,,,4
24,E1605,,PURPLE,2,3,,3033,,,,,,,2
25,BD2006/741,,PURPLE,S,3,,3033,,,,,,,8
25,1116,,BANANA,8XL,7,,3033,,,,,,,40
25,1116,,BANANA,7XL,3,,3033,,,,,,,38
25,1116,,BANANA,6XL,2,,3033,,,,,,,34
25,1116,,BANANA (FLOWER),6XL,6,,3033,,,,,,,34
25,BD2006/741,,PURPLE,L,3,,3033,,,,,,,12
25,E1420,,PURPLE,12,1,,3033,,,,,,,12
25,E1420,,PURPLE,10,1,,3033,,,,,,,10
25,E1420,,PURPLE,8,1,,3033,,,,,,,8
25,E1420,,PURPLE,4,1,,3033,,,,,,,4
26,B8998,,LIGHT GREEN,S,8,,3033,,,,,,,8
26,E1730,,CHARCOAL,20,3,,3033,,,,,,,20
26,E1730,,CHARCOAL,12,2,,3033,,,,,,,12
26,E1730,,CHARCOAL,8,5,,3033,,,,,,,8
26,E1730,,CHARCOAL,6,4,,3033,,,,,,,6
27,570,MILANO,PEACH,S,3,,3033,,,,,,,8
27,570,MILANO,PEACH,8XL,10,,3033,,,,,,,40
27,570,MILANO,PEACH,7XL,14,,3033,,,,,,,38
27,570,MILANO,PEACH,6XL,7,,3033,,,,,,,34
27,570,MILANO,PEACH,5XL,10,,3033,,,,,,,30
