BOX NUMBER,STYLE NO.,BRAND NAME,COLOR,SIZE,QUANTITY,SKU,BOX LOCATION,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,13672,,,,,,,,,,,,,,
34,570,MILANO,FUCHSIA,5XL,14,,,,,,,,,,,,,,,,,,,,,,
34,570,MILANO,FUCHSIA,6XL,10,,,,,,,,,,,,,,,,,,,,,,
34,570,MILANO,FUCHSIA,7XL,19,,,,,,,,,,,,,,,,,,,,,,
34,570,MILANO,FUCHSIA,8XL,9,,,,,,,,,,,,,,,,,,,,,,
35,E1270,,FUCHSIA,6,6,,,,,,,,,,,,,,,,,,,,,,
35,E1270,,FUCHSIA,8,5,,,,,,,,,,,,,,,,,,,,,,
35,E1520,,SANGRIA,22,6,,,,,,,,,,,,,,,,,,,,,,
35,E1520,,SANGRIA,14,1,,,,,,,,,,,,,,,,,,,,,,
35,E1520,,SANGRIA,24,1,,,,,,,,,,,,,,,,,,,,,,
35,E1745,,TURQUOISE GREEN,10,5,,,,,,,,,,,,,,,,,,,,,,
36,1116,,BANANA,5XL,2,,,,,,,,,,,,,,,,,,,,,,
36,1116,,BANANA,6XL,4,,,,,,,,,,,,,,,,,,,,,,
36,1116,,CORAL,5XL,2,,,,,,,,,,,,,,,,,,,,,,
36,1116,,CORAL,6XL,6,,,,,,,,,,,,,,,,,,,,,,
36,1116,,CORAL,7XL,10,,,,,,,,,,,,,,,,,,,,,,
36,1116,,CORAL,8XL,8,,,,,,,,,,,,,,,,,,,,,,
37,570,MILANO,PINK,5XL,19,,,,,,,,,,,,,,,,,,,,,,
37,570,MILANO,PINK,6XL,7,,,,,,,,,,,,,,,,,,,,,,
37,570,MILANO,PINK,7XL,3,,,,,,,,,,,,,,,,,,,,,,
37,570,MILANO,PINK,8XL,3,,,,,,,,,,,,,,,,,,,,,,
37,BZ570,MILANO,PINK,3XL,3,,,,,,,,,,,,,,,,,,,,,,
37,BZ570,MILANO,PINK,5XL,3,,,,,,,,,,,,,,,,,,,,,,
37,BZ570,MILANO,PINK,6XL,4,,,,,,,,,,,,,,,,,,,,,,
37,BZ570,MILANO,PINK,7XL,5,,,,,,,,,,,,,,,,,,,,,,
37,BZ570,MILANO,PINK,8XL,5,,,,,,,,,,,,,,,,,,,,,,
38,AA9306,ANDY ANAND,CHAMPAGNE/IVORY,6,1,,,,$389.00,,,,,,,,,,,,,,,,,,
38,AA9308,ANDY ANAND,,4,1,,,,$529.00,,,,,,,,,,,,,,,,,,
38,AA9309,ANDY ANAND,,12,1,,,,$649.00,,,,,,,,,,,,,,,,,,
38,AA9315,ANDY ANAND,,4,1,,,,$699.00,,,,,,,,,,,,,,,,,,
39,AA9307,ANDY ANAND,,12,1,,,,,,,,,,,,,,,,,,,,,,
39,AA9308,ANDY ANAND,,4,1,,,,$529.00,,,,,,,,,,,,,,,,,,
39,AA9313,ANDY ANAND,,4,1,,,,$459.00,,,,,,,,,,,,,,,,,,
39,AA9315,ANDY ANAND,,6,1,,,,$699.00,,,,,,,,,,,,,,,,,,
39,AA9326,ANDY ANAND,,4,1,,,,$499.00,,,,,,,,,,,,,,,,,,
40,570,MILANO,SKY BLUE,4XL,3,,,,,,,,,,,,,,,,,,,,,,
40,570,MILANO,SKY BLUE,5XL,41,,,,,,,,,,,,,,,,,,,,,,
40,570,MILANO,SKY BLUE,6XL,15,,,,,,,,,,,,,,,,,,,,,,
41,E1730,,BURNTORE,6,1,,,,,,,,,,,,,,,,,,,,,,
41,E1730,,BURNTORE,10,3,,,,,,,,,,,,,,,,,,,,,,
41,E1730,,BURNTORE,12,1,,,,,,,,,,,,,,,,,,,,,,
41,E1730,,BURNTORE,20,3,,,,,,,,,,,,,,,,,,,,,,
41,E1730,,BURNTORE,24,1,,,,,,,,,,,,,,,,,,,,,,
42,4386,,BLACK,16,3,,,,,,,,,,,,,,,,,,,,,,
42,B8486,,BLACK,16,1,,,,,,,,,,,,,,,,,,,,,,
42,E2301,,BLACK,16,2,,,,,,,,,,,,,,,,,,,,,,
