Handle,Title,Body (HTML),Description,Vendor,Type,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Inventory Policy,Variant Requires Shipping,Variant Taxable,Image Src
B8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,7XL,Color,SANGRIA,B8865-7XL,7.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg
B8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,8XL,Color,SANGRIA,B8865-8XL,6.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg
B8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,S,Color,SANGRIA,B8865-S,2.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg
B8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,S,Color,SILVER,B8865-S,1.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg
B8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,7XL,Color,SKY BLUE,B8865-7XL,4.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg
B8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,8XL,Color,SKY BLUE,B8865-8XL,4.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg
B8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,10,Color,TRUFFLE,B8865-10,2.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg
B8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,12,Color,TRUFFLE,B8865-12,6.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg
B8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,14,Color,TRUFFLE,B8865-14,1.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg
B8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,20,Color,TRUFFLE,B8865-20,1.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg
