Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Product Category,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,metafield.custom.clothing_features,metafield.custom.dress_occasion,metafield.custom.dress_style,metafield.custom.skirt_dress_length_type
aa9326,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9326_White-Ivory_3.png?v=1727407810,3,,,,,
aa9326,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9326_White-Ivory_4.png?v=1727407807,4,,,,,
aa9327,ANDY ANAND COUTURE Wedding AA9327,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"IVORY,IVORY Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,IVORY,Size,24.0,AA9327_IVORY_24,,shopify,1.0,deny,manual,560.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9327_White-Ivory_4.png?v=1727407836,1,ANDY ANAND COUTURE aa9327 IVORY,"IVORY, IVORY Wedding",Wedding,AA9327,Wedding
aa9327,ANDY ANAND COUTURE Wedding AA9327,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"WHITE,WHITE Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,WHITE,Size,8.0,AA9327_WHITE_8,,shopify,1.0,deny,manual,560.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9327_White-Ivory_4.png?v=1727407836,1,ANDY ANAND COUTURE aa9327 WHITE,"WHITE, WHITE Wedding",Wedding,AA9327,Wedding
aa9327,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9327_White-Ivory_3.png?v=1727407834,2,,,,,
aa9327,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9327_White-Ivory_1.png?v=1727407785,3,,,,,
aa9327,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9327_White-Ivory_2.png?v=1727407784,4,,,,,
aa9329,ANDY ANAND COUTURE Wedding AA9329,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"IVORY,IVORY Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,IVORY,Size,4.0,AA9329_IVORY_4,,shopify,1.0,deny,manual,623.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9329_White-Ivory_3.png?v=1727407859,1,ANDY ANAND COUTURE aa9329 IVORY,"IVORY, IVORY Wedding",Wedding,AA9329,Wedding
aa9329,ANDY ANAND COUTURE Wedding AA9329,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"IVORY,IVORY Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,IVORY,Size,8.0,AA9329_IVORY_8,,shopify,1.0,deny,manual,623.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9329_White-Ivory_3.png?v=1727407859,1,ANDY ANAND COUTURE aa9329 IVORY,"IVORY, IVORY Wedding",Wedding,AA9329,Wedding
aa9329,ANDY ANAND COUTURE Wedding AA9329,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"WHITE,WHITE Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,WHITE,Size,4.0,AA9329_WHITE_4,,shopify,1.0,deny,manual,623.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9329_White-Ivory_3.png?v=1727407859,1,ANDY ANAND COUTURE aa9329 WHITE,"WHITE, WHITE Wedding",Wedding,AA9329,Wedding
